"stat_name","stat_label","stat_qtr","stat_year","pt_group","qtr_result"
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",1,2008,"All Patients",0.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",1,2008,"County of Residence: Adams",0.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",1,2008,"County of Residence: Arapahoe",0.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",1,2008,"County of Residence: Boulder",0.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",1,2008,"County of Residence: Broomfield",0.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",1,2008,"County of Residence: Denver",0.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",1,2008,"County of Residence: Douglas",0.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",1,2008,"County of Residence: El Paso",0.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",1,2008,"County of Residence: Jefferson",0.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",1,2008,"County of Residence: Larimer",0.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",1,2008,"County of Residence: Morgan",0.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",1,2008,"County of Residence: Out of State",0.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",1,2008,"County of Residence: Weld",0.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",1,2008,"Not a Tri-County Resident",0.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",1,2008,"Tri-County Resident",0.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",2,2008,"All Patients",0.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",2,2008,"County of Residence: Adams",0.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",2,2008,"County of Residence: Arapahoe",0.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",2,2008,"County of Residence: Boulder",0.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",2,2008,"County of Residence: Broomfield",0.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",2,2008,"County of Residence: Denver",0.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",2,2008,"County of Residence: Douglas",0.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",2,2008,"County of Residence: El Paso",0.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",2,2008,"County of Residence: Jefferson",0.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",2,2008,"County of Residence: Larimer",0.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",2,2008,"County of Residence: Morgan",0.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",2,2008,"County of Residence: Out of State",0.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",2,2008,"County of Residence: Weld",0.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",2,2008,"Not a Tri-County Resident",0.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",2,2008,"Tri-County Resident",0.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",3,2008,"All Patients",0.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",3,2008,"County of Residence: Adams",0.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",3,2008,"County of Residence: Arapahoe",0.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",3,2008,"County of Residence: Boulder",0.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",3,2008,"County of Residence: Broomfield",0.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",3,2008,"County of Residence: Denver",0.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",3,2008,"County of Residence: Douglas",0.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",3,2008,"County of Residence: El Paso",0.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",3,2008,"County of Residence: Jefferson",0.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",3,2008,"County of Residence: Larimer",0.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",3,2008,"County of Residence: Morgan",0.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",3,2008,"County of Residence: Out of State",0.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",3,2008,"County of Residence: Weld",0.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",3,2008,"Not a Tri-County Resident",0.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",3,2008,"Tri-County Resident",0.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",4,2008,"All Patients",0.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",4,2008,"County of Residence: Adams",0.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",4,2008,"County of Residence: Arapahoe",0.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",4,2008,"County of Residence: Boulder",0.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",4,2008,"County of Residence: Broomfield",0.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",4,2008,"County of Residence: Denver",0.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",4,2008,"County of Residence: Douglas",0.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",4,2008,"County of Residence: El Paso",0.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",4,2008,"County of Residence: Jefferson",0.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",4,2008,"County of Residence: Larimer",0.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",4,2008,"County of Residence: Morgan",0.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",4,2008,"County of Residence: Out of State",0.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",4,2008,"County of Residence: Weld",0.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",4,2008,"Not a Tri-County Resident",0.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",4,2008,"Tri-County Resident",0.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",1,2009,"All Patients",8.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",1,2009,"County of Residence: Adams",0.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",1,2009,"County of Residence: Arapahoe",0.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",1,2009,"County of Residence: Boulder",0.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",1,2009,"County of Residence: Broomfield",0.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",1,2009,"County of Residence: Denver",5.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",1,2009,"County of Residence: Douglas",0.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",1,2009,"County of Residence: El Paso",0.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",1,2009,"County of Residence: Jefferson",3.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",1,2009,"County of Residence: Larimer",0.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",1,2009,"County of Residence: Morgan",0.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",1,2009,"County of Residence: Out of State",0.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",1,2009,"County of Residence: Weld",0.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",1,2009,"Not a Tri-County Resident",8.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",1,2009,"Tri-County Resident",0.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",2,2009,"All Patients",16.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",2,2009,"County of Residence: Adams",2.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",2,2009,"County of Residence: Arapahoe",4.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",2,2009,"County of Residence: Boulder",1.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",2,2009,"County of Residence: Broomfield",0.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",2,2009,"County of Residence: Denver",5.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",2,2009,"County of Residence: Douglas",1.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",2,2009,"County of Residence: El Paso",0.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",2,2009,"County of Residence: Jefferson",2.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",2,2009,"County of Residence: Larimer",0.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",2,2009,"County of Residence: Morgan",0.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",2,2009,"County of Residence: Out of State",1.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",2,2009,"County of Residence: Weld",0.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",2,2009,"Not a Tri-County Resident",9.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",2,2009,"Tri-County Resident",7.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",3,2009,"All Patients",11.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",3,2009,"County of Residence: Adams",0.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",3,2009,"County of Residence: Arapahoe",2.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",3,2009,"County of Residence: Boulder",1.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",3,2009,"County of Residence: Broomfield",0.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",3,2009,"County of Residence: Denver",4.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",3,2009,"County of Residence: Douglas",1.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",3,2009,"County of Residence: El Paso",0.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",3,2009,"County of Residence: Jefferson",1.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",3,2009,"County of Residence: Larimer",1.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",3,2009,"County of Residence: Morgan",0.00
"Active Cases Reported","New active cases reported in one of the seven TBC-covered metro counties",3,2009,"County of Residence: Out of State",0.00
